,id,host_id,host_is_superhost,host_listings_count,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,review_scores_rating,price_normal
10153,24058040,73761386,0,1.0,6,8036,41.38807,2.15513,3,1,1,1.0,1.0,1.0,20.0,1,0,0,0,0,0,0,7,2.995732273553991
10154,24059038,178790738,0,5.0,6,8025,41.40542,2.17266,1,1,2,1.0,1.0,2.0,70.0,1,0,7,15,33,168,13,7,4.248495242049359
10155,24059171,178790738,0,5.0,6,8025,41.40546,2.17463,1,1,2,1.0,1.0,1.0,55.0,1,0,4,14,14,14,4,6,4.007333185232471
10156,24059231,178790738,0,5.0,6,8025,41.40465,2.17259,1,1,1,1.0,1.0,1.0,52.0,1,0,10,16,38,38,5,6,3.9512437185814275
10157,24061132,181141724,0,1.0,57,8028,41.37568,2.12575,10,1,2,1.0,1.0,1.0,40.0,1,0,15,31,61,151,31,6,3.6888794541139363
10158,24063350,181164532,0,1.0,24,8032,41.42559,2.15557,1,1,1,1.0,1.0,1.0,20.0,1,0,0,0,0,5,8,7,2.995732273553991
10159,24063949,89577477,0,2.0,19,8001,41.37995,2.16737,1,1,2,1.0,1.0,1.0,46.0,4,0,1,4,19,286,40,6,3.828641396489095
10160,24070247,69815537,1,11.0,3,8001,41.38149,2.17054,1,0,2,1.0,1.0,1.0,60.0,32,0,0,0,6,281,0,8,4.0943445622221
10161,24075696,39113880,0,2.0,6,8013,41.39936,2.1827,20,1,2,1.0,1.0,1.0,53.0,2,0,0,0,0,0,0,7,3.970291913552122
10162,24077062,172462374,1,12.0,3,8001,41.3787,2.17375,24,0,4,1.5,2.0,4.0,69.0,32,0,11,41,71,156,1,7,4.23410650459726
10163,24077307,172462374,1,12.0,19,8001,41.38,2.17376,24,0,2,1.0,1.0,1.0,61.0,32,0,5,35,65,150,2,7,4.110873864173311
10164,24077510,172462374,1,12.0,19,8001,41.38064,2.17369,24,0,2,1.0,1.0,1.0,63.0,32,0,10,40,70,155,2,7,4.143134726391533
10165,24077701,172462374,1,12.0,19,8001,41.38059,2.17266,24,0,4,1.0,2.0,4.0,64.0,32,0,10,40,70,155,2,7,4.1588830833596715
10166,24077783,181287056,0,3.0,6,8010,41.39067,2.17644,18,1,4,1.0,1.0,4.0,199.0,1,0,20,48,78,171,37,7,5.293304824724492
10167,24077977,181297147,0,3.0,6,8013,41.4035,2.17872,8,1,2,1.0,1.0,1.0,25.0,2,0,3,3,7,84,24,7,3.2188758248682006
10168,24078086,181297147,0,3.0,6,8013,41.40439,2.17876,17,1,4,1.0,2.0,2.0,50.0,2,0,2,2,6,73,51,6,3.912023005428146
10169,24084921,181329979,1,1.0,36,8033,41.45164,2.1921,3,1,2,1.0,1.0,2.0,18.0,1,0,0,0,0,0,14,7,2.8903717578961645
10170,24088550,158869074,0,1.0,6,8015,41.37987,2.15121,20,1,1,1.0,1.0,1.0,45.0,1,0,0,0,0,0,0,8,3.8066624897703196
10171,24093404,181433332,0,1.0,57,8014,41.37468,2.14701,20,1,2,1.0,1.0,1.0,40.0,5,0,0,0,0,0,0,8,3.6888794541139363
10172,24095640,6007300,1,1.0,21,8025,41.40577,2.16874,1,1,2,1.0,1.0,2.0,45.0,1,0,0,0,7,7,14,7,3.8066624897703196
10173,24098604,146423520,1,2.0,16,8004,41.37413,2.16352,1,1,2,1.0,1.0,1.0,50.0,1,0,0,0,0,0,19,7,3.912023005428146
10174,24099222,181485833,0,1.0,26,8003,41.38134,2.1871,1,0,4,1.0,1.0,2.0,8.0,1,0,0,0,0,0,0,8,2.0794415416798357
10175,24109664,2202284,0,12.0,65,8012,41.40079,2.15781,1,0,5,2.0,1.0,3.0,129.0,3,0,5,7,28,118,23,7,4.859812404361672
10176,24113131,21811351,1,1.0,6,8013,41.39669,2.17529,21,0,2,1.0,1.0,1.0,48.0,32,0,0,6,16,279,3,7,3.871201010907891
10177,24113519,154005925,0,1.0,6,8010,41.39366,2.17695,1,0,6,1.0,2.0,4.0,72.0,32,0,6,34,34,165,2,7,4.276666119016055
10178,24126151,21534713,1,1.0,57,8014,41.37141,2.14018,1,1,2,1.0,1.0,1.0,40.0,2,0,0,0,0,6,16,7,3.6888794541139363
10179,24133214,180659848,0,5.0,57,8028,41.37318,2.13207,1,0,6,1.0,3.0,5.0,40.0,32,0,0,0,0,252,0,8,3.6888794541139363
10180,24136809,83073837,0,1.0,57,8004,41.37427,2.16762,1,1,2,1.0,1.0,1.0,41.0,1,0,0,0,0,0,0,7,3.713572066704308
10181,24137919,181797950,0,1.0,57,8004,41.37072,2.1602,1,1,1,1.0,1.0,1.0,35.0,5,0,2,8,27,210,9,7,3.5553480614894135
10182,24138826,936505,1,2.0,50,8015,41.37946,2.16076,1,0,4,2.0,2.0,3.0,87.0,31,0,0,1,1,214,2,7,4.465908118654584
10183,24142949,36650828,1,5.0,19,8001,41.37938,2.17451,1,0,4,1.0,1.0,2.0,40.0,60,0,0,0,0,0,0,7,3.6888794541139363
10184,24147497,51764925,0,1.0,3,8001,41.37917,2.16376,10,1,2,1.0,1.0,1.0,80.0,2,0,18,43,73,73,5,7,4.382026634673881
10185,24147855,181952663,0,3.0,5,8007,41.38691,2.16861,1,1,2,1.5,1.0,2.0,34.0,1,0,16,40,48,48,71,7,3.5263605246161616
10186,24150850,2977774,0,3.0,3,8002,41.38697,2.17328,1,1,2,1.0,1.0,1.0,49.0,1,0,8,8,9,9,40,7,3.8918202981106265
10187,24153870,22197967,1,3.0,15,8002,41.38633,2.17386,1,0,4,1.0,2.0,3.0,99.0,364,0,0,0,7,282,2,7,4.59511985013459
10188,24153933,162813642,1,1.0,65,8024,41.4062,2.16212,1,1,2,1.0,1.0,1.0,26.0,1,0,1,8,30,114,38,7,3.258096538021482
10189,24155749,181297147,0,3.0,6,8013,41.4039,2.17703,17,1,2,1.0,1.0,1.0,25.0,2,0,4,15,33,117,7,7,3.2188758248682006
10190,24157575,182041010,0,1.0,24,8032,41.42418,2.15807,17,0,1,1.0,1.0,1.0,45.0,1,0,0,0,0,0,0,8,3.8066624897703196
10191,24159098,117423455,1,2.0,6,8013,41.40153,2.18072,1,1,2,1.0,1.0,2.0,69.0,1,0,1,9,14,279,92,7,4.23410650459726
10192,24167970,131794,1,26.0,5,8009,41.39522,2.16908,1,0,16,6.0,9.0,9.0,899.0,2,0,1,7,10,269,2,7,6.80128303447162
10193,24168547,15707021,0,1.0,32,8013,41.40204,2.17903,1,1,2,1.0,1.0,1.0,65.0,1,0,21,50,80,80,25,7,4.174387269895637
10194,24169789,86551441,0,36.0,5,8037,41.3999,2.16521,1,0,4,1.0,1.0,1.0,85.0,3,0,20,50,80,165,5,7,4.442651256490317
10195,24170893,170716140,0,133.0,26,8003,41.38123,2.18997,1,0,3,1.0,1.0,2.0,60.0,90,0,0,0,0,191,0,8,4.0943445622221
10196,24171482,18412267,0,3.0,7,8024,41.41314,2.17031,1,0,3,1.0,2.0,3.0,47.0,31,0,0,6,6,203,6,7,3.8501476017100584
10197,24174008,5878688,1,62.0,6,8025,41.40665,2.17121,24,0,6,2.0,3.0,5.0,100.0,2,0,11,34,62,330,47,7,4.605170185988092
10198,24174966,170716140,0,133.0,3,8003,41.37789,2.1887,1,0,2,1.0,1.0,1.0,80.0,180,0,0,0,0,184,0,8,4.382026634673881
10199,24174970,170716140,0,133.0,57,8028,41.37132,2.12969,1,0,3,1.0,2.0,2.0,65.0,180,0,14,44,74,349,0,8,4.174387269895637
10200,24175076,170716140,0,133.0,26,8003,41.38084,2.19071,1,0,3,1.0,2.0,2.0,75.0,120,0,23,53,83,358,0,8,4.31748811353631
10201,24176442,5878688,1,62.0,6,8025,41.40665,2.17207,24,0,6,2.0,3.0,5.0,100.0,2,0,12,34,62,332,59,7,4.605170185988092
10202,24178710,26613490,0,2.0,56,8003,41.38596,2.17693,1,1,2,1.0,1.0,1.0,65.0,3,0,29,59,89,364,0,8,4.174387269895637
10203,24181162,7867891,1,1.0,6,8036,41.38833,2.15347,1,1,2,1.0,3.0,1.0,39.0,2,0,1,2,2,2,48,7,3.6635616461296463
10204,24182740,21021974,0,1.0,25,8008,41.39183,2.15812,1,1,4,1.0,2.0,2.0,100.0,1,0,0,26,26,26,0,8,4.605170185988092
10205,24189464,182341019,0,1.0,16,8004,41.37397,2.16006,1,1,2,1.0,1.0,1.0,40.0,6,0,1,9,9,14,4,7,3.6888794541139363
10206,24190824,5878688,1,62.0,6,8025,41.4077,2.17074,24,0,6,2.0,3.0,5.0,100.0,2,0,2,16,31,292,51,7,4.605170185988092
10207,24191631,5878688,1,62.0,32,8025,41.4071,2.17259,24,0,6,2.0,3.0,5.0,100.0,2,0,4,11,21,272,76,7,4.605170185988092
10208,24192474,5878688,1,62.0,6,8025,41.40848,2.17283,24,0,6,2.0,3.0,5.0,100.0,2,0,10,21,38,308,64,7,4.605170185988092
10209,24193053,5878688,1,62.0,6,8025,41.40829,2.17244,24,0,6,2.0,3.0,5.0,100.0,2,0,6,28,50,320,51,7,4.605170185988092
10210,24193951,5878688,1,62.0,32,8025,41.40798,2.17085,24,0,6,2.0,3.0,5.0,100.0,2,0,10,33,59,329,38,7,4.605170185988092
10211,24194256,2262273,0,13.0,57,8014,41.37576,2.14685,1,0,5,1.0,3.0,5.0,75.0,32,0,2,2,2,268,1,7,4.31748811353631
10212,24196303,5878688,1,62.0,6,8025,41.40791,2.17151,24,0,4,1.0,2.0,3.0,1000.0,2,0,6,15,39,297,40,7,6.907755278982137
10213,24196406,14400866,1,1.0,54,8026,41.4141,2.18686,1,1,1,1.0,1.0,1.0,40.0,2,0,0,7,37,38,29,7,3.6888794541139363
10214,24196638,299462,0,111.0,21,8024,41.41152,2.16222,1,0,3,1.0,2.0,2.0,200.0,7,0,7,23,53,143,9,7,5.298317366548036
10215,24198132,5878688,1,62.0,6,8025,41.40771,2.17227,24,0,4,1.0,2.0,3.0,100.0,2,0,5,12,36,298,35,7,4.605170185988092
10216,24198817,182406866,0,13.0,50,8011,41.38472,2.16289,1,0,6,2.0,3.0,6.0,50.0,32,0,8,8,8,168,0,8,3.912023005428146
10217,24199914,182412656,0,2.0,54,8005,41.39509,2.19832,1,1,2,1.0,1.0,1.0,35.0,30,0,0,0,11,49,0,8,3.5553480614894135
10218,24200355,182406866,0,13.0,6,8013,41.40387,2.1788,1,0,6,2.0,4.0,6.0,50.0,32,0,2,2,2,162,0,8,3.912023005428146
10219,24200788,182406866,0,13.0,6,8003,41.38906,2.17421,1,0,5,2.0,3.0,5.0,66.0,32,0,19,43,43,244,0,8,4.189654742026425
10220,24201234,170716140,0,133.0,56,8003,41.38894,2.17948,1,0,6,1.0,3.0,4.0,60.0,32,0,0,0,0,160,0,8,4.0943445622221
